avgTemp,minTemp,maxTemp,rainFall,avgPrice
13.2,4.3,21.2,0,3808
16.2,9.8,23.5,0.1,3708
11.5,6.1,18.8,0.1,3708
11.3,4,18.7,0,3708
7.9,5.1,11.8,2.7,3654
9.2,4.2,15.1,0.7,3329
10.8,2.8,18.5,0,3126
13.4,5.4,20.3,0,2406
10.7,8.7,13.9,26.8,2360
10.7,6.3,15.8,0,2360
10.4,5,16,0.4,2360
12.9,6.3,18.8,0.3,2304
12.4,9.8,15.3,11.9,2225
12.1,8.2,16.8,2.4,2243
10.2,5.9,15.4,0.7,2117
13.3,4.1,19.9,0.6,1978
17,13.3,21.3,37.3,1978
15.1,11.2,18.7,2.3,1978
15.3,9.5,21.9,0,1889
16,10.8,22.5,0,1769
14.4,7.4,21.3,0,1735
15.1,8.5,21.8,0,1735
14.9,9.5,19.3,1.1,1650
17.9,13.7,24.2,1.2,1650
18.4,12.3,25.5,0,1650
19.7,14.1,24.6,5.7,1594
18.5,15.2,22.6,41.3,1594
15.8,14,18.1,46.4,1611
15.1,11.6,19.3,2.9,1593
16.2,10,22.2,0,1585
17.6,11.1,24.3,0,1585
17.7,9.3,25.6,0,1585
16.6,11.2,22.5,0,1590
16.2,8.6,23.5,0,1349
18.9,10.4,26.1,0,1313
20.4,15,25.8,0.1,1217
20.2,16.4,24.5,3.3,1220
17.5,14.3,22.1,4.4,1220
16.9,13,22.1,1.8,1220
15.7,12,20.4,3.5,1282
18,9.8,26.1,0,1272
18.8,13.2,24.8,0,1263
16.3,14.3,19,6.2,1150
16.7,14,20.1,0.7,1142
18.6,13.5,24.9,0,1142
19.5,13.9,26.1,0,1142
19,13.6,25.2,0,1192
17.2,15.3,20,2,1196
17.6,14.5,22.2,11.6,1169
18.5,14.7,24.3,0,1212
19.6,14.2,26.1,0,1212
20.8,16.5,26,0.1,1212
21.5,16.1,28.3,0,1212
21.3,14.6,27.8,0,1212
21.5,15.1,28.3,0,1250
22.1,15.7,28.8,0.4,1236
21.2,17.3,25.6,0.3,1227
21.2,17.7,25.1,2.8,1222
22.9,17,29.6,1.4,1222
22.2,17.6,28.3,0.8,1222
20.7,16.8,25.8,0.1,1211
21.3,15.8,27.4,0,1211
21.7,17,27.2,0.1,1216
22.6,17.2,28.5,0,1292
22,16.6,28.1,0,1287
22.3,18.2,27.3,1.5,1287
23.1,17.1,29.5,0,1287
23.3,17.5,29.9,0.8,1201
24.8,18.5,31.5,0.1,1167
23.8,20.9,27.3,22.1,1178
25.2,22.5,28.4,21.6,1178
22.1,19.8,25.5,52.1,1179
19.7,18.4,21.8,54.1,1179
20.6,18.3,23.2,48.3,1179
21.7,18.6,25.2,3.4,1200
23.8,18.4,29.6,4.7,1199
24.7,21.8,28.8,34,1189
24.6,21.9,28.2,19.4,1318
25.1,21.9,29.6,0.8,1385
26,22.2,30.7,2.1,1385
24.2,22.1,26.5,49.1,1385
24.3,20.5,29,9,1465
24.2,19,30.4,0,1492
22.8,19.5,27,4.2,1614
23.2,20.9,25.7,21.8,1653
24.4,22.5,27.3,22.6,1718
23.2,21.2,26.1,84.4,1718
23.2,21,26.6,57.2,1718
23.2,20.7,27,20.6,1734
24,21.8,26.8,30.7,1786
24.9,22.8,27.2,8.9,1923
25.3,23.3,28.6,20.4,2158
26.1,23.2,30.1,6.8,2198
26.2,22.8,30.5,9.3,2198
26.4,22.6,31.4,2.9,2198
27.1,22.8,32,0.1,2287
27.5,23.7,31.8,0.7,2287
26.7,22.4,31.8,0,2331
24.4,20.8,28.9,1.4,2648
23,20.1,26.6,3.6,2743
24.5,21.4,29.1,2.1,2743
23.9,22.1,27,14.1,2743
24.6,21.6,28.6,6,3003
26,22.6,29.8,17.5,3075
26.2,24,29,55.6,3155
26.9,24,30.7,12.1,3435
26.9,23.9,31.4,7.7,3548
26.4,23.7,30.6,6.5,3548
25.7,23.2,29.2,13.3,3548
25.2,23.3,28.2,33.6,3723
25.5,23.3,28.8,13,3764
26.3,23.4,30.6,9.3,3975
26.9,23.4,31.8,2.9,3979
27.9,23.3,33.2,0.1,3976
27.4,24.1,31.8,2.5,3976
27.5,24.4,30.8,32.9,3976
26.6,23.9,29.9,28.8,4294
25.1,23.3,27.5,35.9,4294
26,23.9,29.3,11.9,4294
27,24.1,31.5,5.9,4430
26.3,23.9,30.2,15.6,4043
26,23.5,29.7,6.4,4043
26.1,23.5,30.6,4.4,4043
26.2,23.3,30.1,1.7,4043
26.5,23.7,30.6,12.6,3913
25.3,23.6,28.1,25.6,3930
24.7,22.2,28.7,5.6,3930
22.9,20.7,25.5,3.5,3993
21.1,19.1,23.7,15,3993
22.5,18.3,27.9,2.9,3993
21.7,18.6,25.7,2,3993
21.7,17.9,25.7,3.3,4047
22.4,19.4,25.9,2,3973
23.4,20.1,27.5,0.4,4109
23.9,21,27.7,1.4,4098
25,21.8,29.5,0.8,4098
25.2,21.3,30.2,0,4098
25.8,21.9,31,1.4,4098
25.7,22.4,30.9,0.7,4048
26,22.1,31.8,0,4223
25.8,21.1,32.1,0,4309
25.2,20.6,30.3,0.5,4182
24.7,20.9,29.5,0.2,4182
23.3,19.4,28.3,2.1,4182
22.4,18.3,28.1,1.9,3731
21.8,16.7,28.3,0.1,3650
21.3,14.8,27.9,0,3561
21.8,18.7,25.8,0.1,3415
20.8,18.8,23.9,1.6,3485
19.8,18.1,22.1,16.2,3485
21.6,19.1,24.6,24.5,3485
23.7,21.1,28.2,4,3485
24.5,21.3,29.5,0.1,3485
24.9,21.3,30.5,0,3757
24.8,20.4,31.1,0,3643
25.2,20.6,31.5,0,3698
24.8,21,30,3.3,3698
21.6,19,25.3,3.6,3698
18,15.7,20.5,0.6,3521
17.4,13.5,21.5,0.1,3424
17.3,12.1,23.2,0,3422
16.7,10.4,24,0,3176
17.5,11.1,25.3,0,2858
18.1,11.9,25.5,0,2858
18.4,12.5,25.8,0,2858
18.4,12.2,26.5,0,2651
18.4,11.2,26.4,0,2472
18.5,13.7,23.5,0,2538
17.9,16,20.2,12.4,2219
16.9,11.8,21.5,0.2,2308
13.4,8.7,19.3,0,2308
12.9,8.2,18.7,0,2308
12.3,6,20.1,0,2308
13.9,6.5,21.9,0,2463
15.6,11,22.5,0,2466
15.6,9.9,22.3,0,2183
14.1,7.9,21.7,0,2292
14.5,8.2,22.7,0,2292
