avgTemp,minTemp,maxTemp,rainFall,avgPrice
20.6,18.2,23.6,46.6,6740
21.8,17.1,27.8,0,6804
20.1,14.4,27.2,0,6686
20.3,13.6,27.2,0,6655
20.6,16.5,25.3,0,6472
20.5,16.1,24.8,0.1,6472
21.1,17,26.1,1.8,6472
20.7,15.2,27.2,0,6423
21.9,16.5,27.3,3.5,6316
19.7,14,24.5,0.4,6288
18.2,11.8,25.7,0,6281
19.3,14,26.5,0,6209
19.9,14.9,26.3,0,6209
21.1,16,27.6,0,6209
21.8,16.9,28.5,0,6174
22.3,16.9,28.3,0,6190
19.4,17.3,22.6,21,6184
19.7,15,25.1,0.2,6026
15.8,10.3,21.8,0,5969
17.3,9.9,25.9,0,5969
16.6,12.9,20.3,21.2,5969
19.9,16.5,24.6,15,5969
18.1,14.9,23.1,0.6,5969
17.1,13,22.3,0.1,5969
16.8,13,21,1.1,5969
16.5,13.9,19,8.4,5969
19.4,15.9,24.6,0.1,5969
20.4,16.3,26.5,0,5969
20.9,16.4,27.1,0,5969
20.9,16.8,26.6,1.5,5754
17.7,14.6,21.8,6.3,5403
13.1,10.6,15.5,9.3,4986
13,7.7,19.2,0,4638
14.1,8.9,20.3,0,4638
14.7,10,19.4,0.8,4638
15.5,12.1,20.2,0,4286
15.1,9.7,21.6,0,3980
15.6,13,18.7,0.3,3792
15.3,11.3,20.5,0.5,3398
15.2,10.1,22.4,0,3243
15.1,9.4,22.6,0,3243
15.5,9.4,21.7,0.1,3243
12.9,8,18.6,0,3140
11.7,7.3,18.5,0.1,3104
11.7,6,19.8,0,3094
12.7,6.9,19.5,0,2974
14.4,9.6,21.5,0,3061
15.3,9.2,22.1,0,3061
12.8,7.6,19.4,1.9,3061
7.9,2.9,14.1,0,2809
8.8,1,17.5,0,2754
12.2,6,18.5,0,2643
13.4,9,19.3,0.1,2680
12.1,7.1,18.4,1.3,2587
8.1,3.6,13.8,1.3,2587
7.6,1.4,15.7,0,2587
9.6,2.6,18,0,2640
13.5,6.4,19.8,0.1,2625
14.1,7.5,19.6,0,2624
9.2,2.8,17.6,0,2576
11.5,4.3,19.4,2,2597
6.7,1.7,12.1,0,2597
5.6,-0.6,13.6,0,2597
8.2,1.2,14.4,0.4,2621
9.2,4.1,14.4,0,2646
5.5,1.2,10.3,0,2591
3.1,-1.6,9.3,0,2414
5.1,-2,10.4,0.2,2384
2,-2.1,7.6,0,2384
0.8,-4.1,5.5,0,2384
3.1,-1.5,8.3,0,2445
2.9,-2.7,10.2,0,2461
5.3,0.1,10.7,0.5,2434
2.3,-2,6.7,0.6,2599
1.9,-2.1,6.5,1.3,2622
4,-3.4,10.4,3.3,2622
